Branch Code,Branch Name,Product Type,Product Name,Scheme Name,Customer Id,Application ID,Application Type,Channel
412,DHAR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000149007,APHL000000109874,New Application,Connector
604,BAREILLY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000169819,APHL000000122887,New Application,Connector
587,UDAIPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000101060,APHL000000085939,New Application,DIRECT
598,WARANGAL HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000109514,APHL000000091555,New Application,DIRECT
649,NEW DELHI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148471,APHL000000111348,New Application,Connector
34,DEHRADUN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000115943,APHL000000090816,New Application,DIRECT
629,PITHAMPUR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000109727,APHL000000091199,New Application,DIRECT
623,RO JAIPUR HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000183748,APHL000000129612,New Application,DIRECT
540,SAHARANPUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000109706,APHL000000091693,New Application,DSA
474,SHUJALPUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148506,APHL000000109859,New Application,DIRECT
98,AJMER,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000177059,APHL000000125630,New Application,Connector
129,DAVANGERE,Home Loan,HOME LOAN,Self Construction,GLBCUST00000112332,APHL000000089898,New Application,DIRECT
596,KANPUR HL,Home Loan,HOME LOAN,Plot Purchase Plus Construction,GLBCUST00000150448,APHL000000111593,New Application,DIRECT
173,HARIDWAR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000179416,APHL000000127731,New Application,Connector
98,AJMER,Loan Against Property,LOAN AGAINST PROPERTY - HFC,Top-Up on HL BT,GLBCUST00000184253,APHL000000129813,Top-up without Closure,Connector
572,Neemuch HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000147665,APHL000000110659,New Application,DIRECT
604,BAREILLY HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148462,APHL000000111239,New Application,Connector
34,DEHRADUN,Home Loan,HOME LOAN,Extension,GLBCUST00000189271,APHL000000133371,New Application,Connector
129,DAVANGERE,Home Loan,HOME LOAN,Self Construction,GLBCUST00000112777,APHL000000093407,New Application,DIRECT
472,DEWAS,Home Loan,HOME LOAN,Self Construction,GLBCUST00000183940,APHL000000130522,New Application,DIRECT
415,RATLAM,Home Loan,HOME LOAN,Self Construction,GLBCUST00000151618,APHL000000109938,New Application,DIRECT
636,VILLUPURAM HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000149218,APHL000000110198,New Application,Connector
124,KOLHAPUR,Home Loan,HOME LOAN,Self Construction,GLBCUST00000130895,APHL000000101850,New Application,Connector
592,GWALIOR HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000183475,APHL000000129985,New Application,DIRECT
180,UJJAIN,Home Loan,HOME LOAN,Self Construction,GLBCUST00000148897,APHL000000111191,New Application,DIRECT
197,BHOPAL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000150226,APHL000000108431,New Application,Connector
660,RAEBARELI HL,Home Loan,HOME LOAN,Self Construction,GLBCUST00000184281,APHL000000130166,New Application,Connector
